	X	fine	broad	time	censored	settled	cum_sett	total_start	total_rm_censor	not	prop	percent	i2
1	1	control	drk	1	12	0	0	54	54	54	0	0	1
2	2	control	drk	2	0	0	0	54	42	42	0	0	2
3	3	control	drk	3	7	0	0	54	42	42	0	0	3
4	4	control	drk	4	0	0	0	54	35	35	0	0	4
5	5	control	drk	5	7	0	0	54	35	35	0	0	5
6	6	control	drk	6	0	0	0	54	28	28	0	0	6
7	7	control	drk	7	7	0	0	54	28	28	0	0	7
8	8	control	drk	8	0	0	0	54	21	21	0	0	8
9	9	control	drk	9	7	0	0	54	21	21	0	0	9
10	10	control	drk	10	14	0	0	54	14	14	0	0	10
11	14	control	lgt	1	12	0	0	54	54	54	0	0	11
12	15	control	lgt	2	0	0	0	54	42	42	0	0	12
13	16	control	lgt	3	7	0	0	54	42	42	0	0	13
14	17	control	lgt	4	0	0	0	54	35	35	0	0	14
15	18	control	lgt	5	7	0	0	54	35	35	0	0	15
16	19	control	lgt	6	0	0	0	54	28	28	0	0	16
17	20	control	lgt	7	7	0	0	54	28	28	0	0	17
18	21	control	lgt	8	0	0	0	54	21	21	0	0	18
19	22	control	lgt	9	7	0	0	54	21	21	0	0	19
20	23	control	lgt	10	14	0	0	54	14	14	0	0	20
21	27	control	nat	1	12	0	0	54	54	54	0	0	21
22	28	control	nat	2	0	0	0	54	42	42	0	0	22
23	29	control	nat	3	7	0	0	54	42	42	0	0	23
24	30	control	nat	4	0	0	0	54	35	35	0	0	24
25	31	control	nat	5	7	0	0	54	35	35	0	0	25
26	32	control	nat	6	0	0	0	54	28	28	0	0	26
27	33	control	nat	7	7	0	0	54	28	28	0	0	27
28	34	control	nat	8	0	0	0	54	21	21	0	0	28
29	35	control	nat	9	7	0	0	54	21	21	0	0	29
30	36	control	nat	10	14	0	0	54	14	14	0	0	30
31	40	induced	drk	1	0	3	3	54	54	51	0.0555555555555556	5.55555555555556	31
32	41	induced	drk	2	0	3	6	54	54	48	0.111111111111111	11.1111111111111	32
33	42	induced	drk	3	0	6	12	54	54	42	0.222222222222222	22.2222222222222	33
34	43	induced	drk	4	0	4	16	54	54	38	0.296296296296296	29.6296296296296	34
35	44	induced	drk	5	0	3	19	54	54	35	0.351851851851852	35.1851851851852	35
36	45	induced	drk	6	0	3	22	54	54	32	0.407407407407407	40.7407407407407	36
37	46	induced	drk	7	0	5	27	54	54	27	0.5	50	37
38	47	induced	drk	8	0	2	29	54	54	25	0.537037037037037	53.7037037037037	38
39	48	induced	drk	9	0	1	30	54	54	24	0.555555555555556	55.5555555555556	39
40	49	induced	drk	10	0	0	30	54	54	24	0.555555555555556	55.5555555555556	40
41	50	induced	drk	11	0	0	30	54	54	24	0.555555555555556	55.5555555555556	41
42	51	induced	drk	12	0	2	32	54	54	22	0.592592592592593	59.2592592592593	42
43	52	induced	drk	13	22	0	32	54	54	22	0.592592592592593	59.2592592592593	43
44	53	induced	lgt	1	0	0	0	54	54	54	0	0	44
45	54	induced	lgt	2	0	0	0	54	54	54	0	0	45
46	55	induced	lgt	3	0	0	0	54	54	54	0	0	46
47	56	induced	lgt	4	0	0	0	54	54	54	0	0	47
48	57	induced	lgt	5	0	0	0	54	54	54	0	0	48
49	58	induced	lgt	6	0	0	0	54	54	54	0	0	49
50	59	induced	lgt	7	0	1	1	54	54	53	0.0185185185185185	1.85185185185185	50
51	60	induced	lgt	8	0	1	2	54	54	52	0.037037037037037	3.7037037037037	51
52	61	induced	lgt	9	0	0	2	54	54	52	0.037037037037037	3.7037037037037	52
53	62	induced	lgt	10	18	0	2	54	54	52	0.037037037037037	3.7037037037037	53
54	63	induced	lgt	11	0	0	2	54	36	34	0.0555555555555556	5.55555555555556	54
55	64	induced	lgt	12	0	0	2	54	36	34	0.0555555555555556	5.55555555555556	55
56	65	induced	lgt	13	21	0	2	54	36	34	0.0555555555555556	5.55555555555556	56
57	66	induced	nat	1	0	0	0	54	54	54	0	0	57
58	67	induced	nat	2	0	0	0	54	54	54	0	0	58
59	68	induced	nat	3	0	0	0	54	54	54	0	0	59
60	69	induced	nat	4	0	0	0	54	54	54	0	0	60
61	70	induced	nat	5	0	5	5	54	54	49	0.0925925925925926	9.25925925925926	61
62	71	induced	nat	6	0	5	10	54	54	44	0.185185185185185	18.5185185185185	62
63	72	induced	nat	7	0	4	14	54	54	40	0.259259259259259	25.9259259259259	63
64	73	induced	nat	8	0	11	25	54	54	29	0.462962962962963	46.2962962962963	64
65	74	induced	nat	9	0	3	28	54	54	26	0.518518518518518	51.8518518518518	65
66	75	induced	nat	10	0	5	33	54	54	21	0.611111111111111	61.1111111111111	66
67	76	induced	nat	11	0	1	34	54	54	20	0.62962962962963	62.962962962963	67
68	77	induced	nat	12	0	5	39	54	54	15	0.722222222222222	72.2222222222222	68
69	78	induced	nat	13	11	4	43	54	54	11	0.796296296296296	79.6296296296296	69
