ID	broad	fine	time	censor
163	drk	control	1	0
164	drk	control	1	0
165	drk	control	1	0
166	drk	control	1	0
167	drk	control	1	0
168	drk	control	1	0
169	drk	control	1	0
170	drk	control	1	0
171	drk	control	1	0
172	drk	control	1	0
173	drk	control	1	0
174	drk	control	1	0
175	drk	control	3	0
176	drk	control	3	0
177	drk	control	3	0
178	drk	control	3	0
179	drk	control	3	0
180	drk	control	3	0
181	drk	control	3	0
182	drk	control	5	0
183	drk	control	5	0
184	drk	control	5	0
185	drk	control	5	0
186	drk	control	5	0
187	drk	control	5	0
188	drk	control	5	0
189	drk	control	7	0
190	drk	control	7	0
191	drk	control	7	0
192	drk	control	7	0
193	drk	control	7	0
194	drk	control	7	0
195	drk	control	7	0
196	drk	control	9	0
197	drk	control	9	0
198	drk	control	9	0
199	drk	control	9	0
200	drk	control	9	0
201	drk	control	9	0
202	drk	control	9	0
203	drk	control	10	0
204	drk	control	10	0
205	drk	control	10	0
206	drk	control	10	0
207	drk	control	10	0
208	drk	control	10	0
209	drk	control	10	0
210	drk	control	10	0
211	drk	control	10	0
212	drk	control	10	0
213	drk	control	10	0
214	drk	control	10	0
215	drk	control	10	0
216	drk	control	10	0
123	drk	induced	1	1
128	drk	induced	1	1
129	drk	induced	1	1
113	drk	induced	2	1
117	drk	induced	2	1
118	drk	induced	2	1
120	drk	induced	3	1
130	drk	induced	3	1
124	drk	induced	3	1
125	drk	induced	3	1
126	drk	induced	3	1
139	drk	induced	3	1
114	drk	induced	4	1
119	drk	induced	4	1
121	drk	induced	4	1
131	drk	induced	4	1
132	drk	induced	5	1
134	drk	induced	5	1
135	drk	induced	5	1
109	drk	induced	6	1
110	drk	induced	6	1
140	drk	induced	6	1
141	drk	induced	7	1
111	drk	induced	7	1
112	drk	induced	7	1
115	drk	induced	7	1
122	drk	induced	7	1
127	drk	induced	8	1
116	drk	induced	8	1
136	drk	induced	9	1
137	drk	induced	12	1
133	drk	induced	12	1
138	drk	induced	13	0
142	drk	induced	13	0
143	drk	induced	13	0
144	drk	induced	13	0
145	drk	induced	13	0
146	drk	induced	13	0
147	drk	induced	13	0
148	drk	induced	13	0
149	drk	induced	13	0
150	drk	induced	13	0
151	drk	induced	13	0
152	drk	induced	13	0
153	drk	induced	13	0
154	drk	induced	13	0
155	drk	induced	13	0
156	drk	induced	13	0
157	drk	induced	13	0
158	drk	induced	13	0
159	drk	induced	13	0
160	drk	induced	13	0
161	drk	induced	13	0
162	drk	induced	13	0
271	lgt	control	1	0
272	lgt	control	1	0
273	lgt	control	1	0
274	lgt	control	1	0
275	lgt	control	1	0
276	lgt	control	1	0
277	lgt	control	1	0
278	lgt	control	1	0
279	lgt	control	1	0
280	lgt	control	1	0
281	lgt	control	1	0
282	lgt	control	1	0
283	lgt	control	3	0
284	lgt	control	3	0
285	lgt	control	3	0
286	lgt	control	3	0
287	lgt	control	3	0
288	lgt	control	3	0
289	lgt	control	3	0
290	lgt	control	5	0
291	lgt	control	5	0
292	lgt	control	5	0
293	lgt	control	5	0
294	lgt	control	5	0
295	lgt	control	5	0
296	lgt	control	5	0
297	lgt	control	7	0
298	lgt	control	7	0
299	lgt	control	7	0
300	lgt	control	7	0
301	lgt	control	7	0
302	lgt	control	7	0
303	lgt	control	7	0
304	lgt	control	9	0
305	lgt	control	9	0
306	lgt	control	9	0
307	lgt	control	9	0
308	lgt	control	9	0
309	lgt	control	9	0
310	lgt	control	9	0
311	lgt	control	10	0
312	lgt	control	10	0
313	lgt	control	10	0
314	lgt	control	10	0
315	lgt	control	10	0
316	lgt	control	10	0
317	lgt	control	10	0
318	lgt	control	10	0
319	lgt	control	10	0
320	lgt	control	10	0
321	lgt	control	10	0
322	lgt	control	10	0
323	lgt	control	10	0
324	lgt	control	10	0
217	lgt	induced	7	1
218	lgt	induced	8	1
219	lgt	induced	10	0
220	lgt	induced	10	0
221	lgt	induced	10	0
222	lgt	induced	10	0
223	lgt	induced	10	0
224	lgt	induced	10	0
225	lgt	induced	10	0
226	lgt	induced	10	0
227	lgt	induced	10	0
228	lgt	induced	10	0
229	lgt	induced	10	0
230	lgt	induced	10	0
231	lgt	induced	10	0
232	lgt	induced	10	0
233	lgt	induced	10	0
234	lgt	induced	10	0
235	lgt	induced	10	0
236	lgt	induced	10	0
237	lgt	induced	10	0
238	lgt	induced	10	0
239	lgt	induced	10	0
240	lgt	induced	10	0
241	lgt	induced	10	0
242	lgt	induced	10	0
243	lgt	induced	10	0
244	lgt	induced	10	0
245	lgt	induced	10	0
246	lgt	induced	10	0
247	lgt	induced	10	0
248	lgt	induced	10	0
249	lgt	induced	10	0
250	lgt	induced	13	0
251	lgt	induced	13	0
252	lgt	induced	13	0
253	lgt	induced	13	0
254	lgt	induced	13	0
255	lgt	induced	13	0
256	lgt	induced	13	0
257	lgt	induced	13	0
258	lgt	induced	13	0
259	lgt	induced	13	0
260	lgt	induced	13	0
261	lgt	induced	13	0
262	lgt	induced	13	0
263	lgt	induced	13	0
264	lgt	induced	13	0
265	lgt	induced	13	0
266	lgt	induced	13	0
267	lgt	induced	13	0
268	lgt	induced	13	0
269	lgt	induced	13	0
270	lgt	induced	13	0
55	nat	control	1	0
56	nat	control	1	0
57	nat	control	1	0
58	nat	control	1	0
59	nat	control	1	0
60	nat	control	1	0
61	nat	control	1	0
62	nat	control	1	0
63	nat	control	1	0
64	nat	control	1	0
65	nat	control	1	0
66	nat	control	1	0
67	nat	control	3	0
68	nat	control	3	0
69	nat	control	3	0
70	nat	control	3	0
71	nat	control	3	0
72	nat	control	3	0
73	nat	control	3	0
74	nat	control	5	0
75	nat	control	5	0
76	nat	control	5	0
77	nat	control	5	0
78	nat	control	5	0
79	nat	control	5	0
80	nat	control	5	0
81	nat	control	7	0
82	nat	control	7	0
83	nat	control	7	0
84	nat	control	7	0
85	nat	control	7	0
86	nat	control	7	0
87	nat	control	7	0
88	nat	control	9	0
89	nat	control	9	0
90	nat	control	9	0
91	nat	control	9	0
92	nat	control	9	0
93	nat	control	9	0
94	nat	control	9	0
95	nat	control	10	0
96	nat	control	10	0
97	nat	control	10	0
98	nat	control	10	0
99	nat	control	10	0
100	nat	control	10	0
101	nat	control	10	0
102	nat	control	10	0
103	nat	control	10	0
104	nat	control	10	0
105	nat	control	10	0
106	nat	control	10	0
107	nat	control	10	0
108	nat	control	10	0
1	nat	induced	5	1
29	nat	induced	5	1
33	nat	induced	5	1
34	nat	induced	5	1
39	nat	induced	5	1
2	nat	induced	6	1
10	nat	induced	6	1
11	nat	induced	6	1
15	nat	induced	6	1
35	nat	induced	6	1
3	nat	induced	7	1
4	nat	induced	7	1
6	nat	induced	7	1
30	nat	induced	7	1
5	nat	induced	8	1
16	nat	induced	8	1
17	nat	induced	8	1
20	nat	induced	8	1
21	nat	induced	8	1
22	nat	induced	8	1
25	nat	induced	8	1
26	nat	induced	8	1
31	nat	induced	8	1
36	nat	induced	8	1
40	nat	induced	8	1
12	nat	induced	9	1
13	nat	induced	9	1
23	nat	induced	9	1
18	nat	induced	10	1
24	nat	induced	10	1
27	nat	induced	10	1
37	nat	induced	10	1
38	nat	induced	10	1
14	nat	induced	11	1
19	nat	induced	12	1
28	nat	induced	12	1
32	nat	induced	12	1
7	nat	induced	12	1
8	nat	induced	12	1
45	nat	induced	13	1
46	nat	induced	13	1
47	nat	induced	13	1
48	nat	induced	13	1
49	nat	induced	13	0
50	nat	induced	13	0
51	nat	induced	13	0
52	nat	induced	13	0
53	nat	induced	13	0
54	nat	induced	13	0
9	nat	induced	13	0
41	nat	induced	13	0
42	nat	induced	13	0
43	nat	induced	13	0
44	nat	induced	13	0
