ID	broad	fine	time	censor
1	lgtdrk	induced	11	1
2	lgtdrk	induced	11	1
3	lgtdrk	induced	11	1
4	lgtdrk	induced	11	1
5	lgtdrk	induced	11	1
6	lgtdrk	induced	11	1
7	lgtdrk	induced	11	1
8	lgtdrk	induced	12	1
9	lgtdrk	induced	12	1
10	lgtdrk	induced	13	1
11	lgtdrk	induced	13	1
12	lgtdrk	induced	13	0
13	lgtdrk	induced	13	0
14	lgtdrk	induced	13	0
15	lgtdrk	induced	13	0
16	lgtdrk	induced	13	0
17	lgtdrk	induced	13	0
18	lgtdrk	induced	13	0
19	lgt	induced	7	1
20	lgt	induced	8	1
21	lgt	induced	13	0
22	lgt	induced	13	0
23	lgt	induced	13	0
24	lgt	induced	13	0
25	lgt	induced	13	0
26	lgt	induced	13	0
27	lgt	induced	13	0
28	lgt	induced	13	0
29	lgt	induced	13	0
30	lgt	induced	13	0
31	lgt	induced	13	0
32	lgt	induced	13	0
33	lgt	induced	13	0
34	lgt	induced	13	0
35	lgt	induced	13	0
36	lgt	induced	13	0
37	lgt	induced	13	0
38	lgt	induced	13	0
39	lgt	induced	13	0
40	lgt	induced	13	0
41	lgt	induced	13	0
